CODE	LABEL
HP:0000002	Abnormality of body height
HP:0000003	Multicystic kidney dysplasia
HP:0000006	Autosomal dominant inheritance
HP:0000007	Autosomal recessive inheritance
HP:0000008	Abnormal morphology of female internal genitalia
HP:0000009	Functional abnormality of the bladder
HP:0000010	Recurrent urinary tract infections
HP:0000011	Neurogenic bladder
HP:0000012	Urinary urgency
HP:0000013	Hypoplasia of the uterus
HP:0000014	Abnormality of the bladder
HP:0000015	Bladder diverticulum
HP:0000016	Urinary retention
HP:0000017	Nocturia
HP:0000019	Urinary hesitancy
HP:0000020	Urinary incontinence
HP:0000021	Megacystis
HP:0000022	Abnormality of male internal genitalia
HP:0000023	Inguinal hernia
HP:0032792	Tonic seizure
HP:0000024	Prostatitis
HP:0000025	Functional abnormality of male internal genitalia
HP:0032794	Myoclonic seizure
HP:0000026	Male hypogonadism
HP:0000027	Azoospermia
HP:0000028	Cryptorchidism
HP:0000029	Testicular atrophy
HP:0000030	Testicular gonadoblastoma
HP:0000031	Epididymitis
HP:0000032	Abnormality of male external genitalia
HP:0000033	Ambiguous genitalia, male
HP:0000034	Hydrocele testis
HP:0000035	Abnormal testis morphology
HP:0000036	Abnormality of the penis
HP:0000037	Male pseudohermaphroditism
HP:0000039	Epispadias
HP:0000040	Long penis
HP:0000041	Chordee
HP:0000042	Absent external genitalia
HP:0000044	Hypogonadotropic hypogonadism
HP:0000045	Abnormality of the scrotum
HP:0000046	Scrotal hypoplasia
HP:0000047	Hypospadias
HP:0000048	Bifid scrotum
HP:0000049	Shawl scrotum
HP:0000050	Hypoplastic male external genitalia
HP:0000051	Perineal hypospadias
HP:0000053	Macroorchidism
HP:0000054	Micropenis
HP:0000055	Abnormality of female external genitalia
HP:0000056	Abnormality of the clitoris
HP:0000058	Abnormality of the labia
HP:0000059	Hypoplastic labia majora
HP:0000060	Clitoral hypoplasia
HP:0000061	Ambiguous genitalia, female
HP:0000062	Ambiguous genitalia
HP:0000063	Fused labia minora
HP:0000064	Hypoplastic labia minora
HP:0000065	Labial hypertrophy
HP:0000066	Labial hypoplasia
HP:0000068	Urethral atresia
HP:0000069	Abnormality of the ureter
HP:0000070	Ureterocele
HP:0000071	Ureteral stenosis
HP:0000072	Hydroureter
HP:0000073	Ureteral duplication
HP:0000074	Ureteropelvic junction obstruction
HP:0000075	Renal duplication
HP:0000076	Vesicoureteral reflux
HP:0000077	Abnormality of the kidney
HP:0000078	Abnormality of the genital system
HP:0000079	Abnormality of the urinary system
HP:0000080	Abnormality of reproductive system physiology
HP:0000081	Duplicated collecting system
HP:0000083	Renal insufficiency
HP:0000085	Horseshoe kidney
HP:0000086	Ectopic kidney
HP:0000089	Renal hypoplasia
HP:0000090	Nephronophthisis
HP:0000091	Abnormal renal tubule morphology
HP:0000092	Renal tubular atrophy
HP:0032860	Generalized non-convulsive status epilepticus without coma
HP:0000093	Proteinuria
HP:0000095	Abnormality of renal glomerulus morphology
HP:0000096	Glomerulosclerosis
HP:0000097	Focal segmental glomerulosclerosis
HP:0000098	Tall stature
HP:0000099	Glomerulonephritis
HP:0000100	Nephrotic syndrome
HP:0000103	Polyuria
HP:0000104	Renal agenesis
HP:0000105	Enlarged kidney
HP:0000107	Renal cyst
HP:0000108	Renal corticomedullary cysts
HP:0000110	Renal dysplasia
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112	Nephropathy
HP:0000113	Polycystic kidney dysplasia
HP:0000114	Proximal tubulopathy
HP:0000117	Renal phosphate wasting
HP:0000119	Abnormality of the genitourinary system
HP:0000121	Nephrocalcinosis
HP:0000122	Unilateral renal agenesis
HP:0000123	Nephritis
HP:0032892	Infection-related seizure
HP:0000124	Renal tubular dysfunction
HP:0000125	Pelvic kidney
HP:0032894	Seizure precipitated by febrile infection
HP:0000126	Hydronephrosis
HP:0000127	Renal salt wasting
HP:0000128	Renal potassium wasting
HP:0000130	Abnormality of the uterus
HP:0000131	Uterine leiomyoma
HP:0000132	Menorrhagia
HP:0000133	Gonadal dysgenesis
HP:0000134	Female hypogonadism
HP:0000135	Hypogonadism
HP:0000136	Bifid uterus
HP:0000137	Abnormality of the ovary
HP:0000138	Ovarian cyst
HP:0000139	Uterine prolapse
HP:0000140	Abnormality of the menstrual cycle
HP:0000141	Amenorrhea
HP:0000142	Abnormal vagina morphology
HP:0000143	Rectovaginal fistula
HP:0000144	Decreased fertility
HP:0000145	Transverse vaginal septum
HP:0000147	Polycystic ovaries
HP:0000148	Vaginal atresia
HP:0000149	Ovarian gonadoblastoma
HP:0000150	Gonadoblastoma
HP:0000151	Aplasia of the uterus
HP:0000152	Abnormality of head or neck
HP:0000153	Abnormality of the mouth
HP:0000154	Wide mouth
HP:0000155	Oral ulcer
HP:0000157	Abnormality of the tongue
HP:0000158	Macroglossia
HP:0000159	Abnormal lip morphology
HP:0000160	Narrow mouth
HP:0000161	Median cleft lip
HP:0032929	Abnormal chondrocyte morphology
HP:0000162	Glossoptosis
HP:0000163	Abnormal oral cavity morphology
HP:0000164	Abnormality of the dentition
HP:0000166	Severe periodontitis
HP:0000168	Abnormality of the gingiva
HP:0000169	Gingival fibromatosis
HP:0000171	Microglossia
HP:0000172	Abnormality of the uvula
HP:0000174	Abnormal palate morphology
HP:0000175	Cleft palate
HP:0032943	Abnormal urine pH
HP:0000176	Submucous cleft hard palate
HP:0000177	Abnormality of upper lip
HP:0000178	Abnormality of lower lip
HP:0000179	Thick lower lip vermilion
HP:0000180	Lobulated tongue
HP:0000182	Movement abnormality of the tongue
HP:0000183	Difficulty in tongue movements
HP:0000185	Cleft soft palate
HP:0000187	Broad alveolar ridges
HP:0000188	Short upper lip
HP:0000189	Narrow palate
HP:0000190	Abnormal oral frenulum morphology
HP:0000191	Accessory oral frenulum
HP:0000193	Bifid uvula
HP:0000194	Open mouth
HP:0000196	Lower lip pit
HP:0000197	Abnormal parotid gland morphology
HP:0000198	Absence of Stensen duct
HP:0000199	Tongue nodules
HP:0000200	Short lingual frenulum
HP:0000201	Pierre-Robin sequence
HP:0000202	Oral cleft
HP:0000204	Cleft upper lip
HP:0000205	Pursed lips
HP:0000206	Glossitis
HP:0000207	Triangular mouth
HP:0000211	Trismus
HP:0000212	Gingival overgrowth
HP:0000214	Lip telangiectasia
HP:0000215	Thick upper lip vermilion
HP:0000216	Broad secondary alveolar ridge
HP:0000217	Xerostomia
HP:0000218	High palate
HP:0000219	Thin upper lip vermilion
HP:0000220	Velopharyngeal insufficiency
HP:0000221	Furrowed tongue
HP:0000222	Gingival hyperkeratosis
HP:0000223	Abnormality of taste sensation
HP:0000224	Decreased taste sensation
HP:0000225	Gingival bleeding
HP:0000227	Tongue telangiectasia
HP:0000228	Oral cavity telangiectasia
HP:0000230	Gingivitis
HP:0000232	Everted lower lip vermilion
HP:0000233	Thin vermilion border
HP:0000234	Abnormality of the head
HP:0000235	Abnormality of the fontanelles or cranial sutures
HP:0000236	Abnormality of the anterior fontanelle
HP:0000237	Small anterior fontanelle
HP:0000238	Hydrocephalus
HP:0000239	Large fontanelles
HP:0000240	Abnormality of skull size
HP:0000242	Parietal bossing
HP:0000243	Trigonocephaly
HP:0000244	Brachyturricephaly
HP:0000245	Abnormality of the paranasal sinuses
HP:0000246	Sinusitis
HP:0000248	Brachycephaly
HP:0000250	Dense calvaria
HP:0033019	Male reproductive system neoplasm
HP:0000252	Microcephaly
HP:0033020	Female reproductive system neoplasm
HP:0000253	Progressive microcephaly
HP:0000256	Macrocephaly
HP:0000260	Wide anterior fontanel
HP:0000262	Turricephaly
HP:0000263	Oxycephaly
HP:0000264	Abnormality of the mastoid
HP:0000265	Mastoiditis
HP:0000267	Cranial asymmetry
HP:0000268	Dolichocephaly
HP:0000269	Prominent occiput
HP:0000270	Delayed cranial suture closure
HP:0000271	Abnormality of the face
HP:0000272	Malar flattening
HP:0000273	Facial grimacing
HP:0000274	Small face
HP:0000275	Narrow face
HP:0000276	Long face
HP:0000277	Abnormality of the mandible
HP:0000278	Retrognathia
HP:0000280	Coarse facial features
HP:0000282	Facial edema
HP:0000283	Broad face
HP:0000286	Epicanthus
HP:0000287	Increased facial adipose tissue
HP:0000288	Abnormality of the philtrum
HP:0000289	Broad philtrum
HP:0000290	Abnormality of the forehead
HP:0000291	Abnormality of facial adipose tissue
HP:0000292	Loss of facial adipose tissue
HP:0000293	Full cheeks
HP:0000294	Low anterior hairline
HP:0000295	Doll-like facies
HP:0000297	Facial hypotonia
HP:0000298	Mask-like facies
HP:0000300	Oval face
HP:0000301	Abnormality of facial musculature
HP:0000303	Mandibular prognathia
HP:0000306	Abnormality of the chin
HP:0000307	Pointed chin
HP:0000308	Microretrognathia
HP:0000309	Abnormality of the midface
HP:0000311	Round face
HP:0000315	Abnormality of the orbital region
HP:0000316	Hypertelorism
HP:0000317	Facial myokymia
HP:0000319	Smooth philtrum
HP:0000320	Bird-like facies
HP:0000321	Square face
HP:0000322	Short philtrum
HP:0000324	Facial asymmetry
HP:0000325	Triangular face
HP:0000326	Abnormality of the maxilla
HP:0000327	Hypoplasia of the maxilla
HP:0000329	Facial hemangioma
HP:0000331	Short chin
HP:0000336	Prominent supraorbital ridges
HP:0000337	Broad forehead
HP:0000338	Hypomimic face
HP:0000339	Pugilistic facies
HP:0000340	Sloping forehead
HP:0000341	Narrow forehead
HP:0000343	Long philtrum
HP:0000346	Whistling appearance
HP:0000347	Micrognathia
HP:0000348	High forehead
HP:0000349	Widow's peak
HP:0000350	Small forehead
HP:0000356	Abnormality of the outer ear
HP:0000357	Abnormal location of ears
HP:0000358	Posteriorly rotated ears
HP:0000359	Abnormality of the inner ear
HP:0000360	Tinnitus
HP:0000362	Otosclerosis
HP:0000363	Abnormality of earlobe
HP:0000364	Hearing abnormality
HP:0000365	Hearing impairment
HP:0000366	Abnormality of the nose
HP:0000368	Low-set, posteriorly rotated ears
HP:0000369	Low-set ears
HP:0000370	Abnormality of the middle ear
HP:0000371	Acute otitis media
HP:0000372	Abnormality of the auditory canal
HP:0000375	Abnormal cochlea morphology
HP:0000376	Incomplete partition of the cochlea type II
HP:0000377	Abnormality of the pinna
HP:0000378	Cupped ear
HP:0000381	Stapes ankylosis
HP:0000383	Abnormality of periauricular region
HP:0000384	Preauricular skin tag
HP:0000385	Small earlobe
HP:0000387	Absent earlobe
HP:0000388	Otitis media
HP:0000389	Chronic otitis media
HP:0000391	Thickened helices
HP:0000394	Lop ear
HP:0000395	Prominent antihelix
HP:0000396	Overfolded helix
HP:0000399	Prelingual sensorineural hearing impairment
HP:0000400	Macrotia
HP:0000402	Stenosis of the external auditory canal
HP:0000403	Recurrent otitis media
HP:0410005	Cleft hard palate
HP:0000405	Conductive hearing impairment
HP:0410003	Cleft maxillary alveolus
HP:0000407	Sensorineural hearing impairment
HP:0000408	Progressive sensorineural hearing impairment
HP:0000410	Mixed hearing impairment
HP:0000411	Protruding ear
HP:0410010	Abnormality of somatic nerve plexus
HP:0000413	Atresia of the external auditory canal
HP:0410011	Abnormality of masticatory muscle
HP:0410008	Abnormality of the peripheral nervous system
HP:0000414	Bulbous nose
HP:0000415	Abnormality of the choanae
HP:0410009	Abnormality of the somatic nervous system
HP:0000417	Slender nose
HP:0000418	Narrow nasal ridge
HP:0410020	Fish odor
HP:0000419	Abnormality of the nasal septum
HP:0410018	Recurrent ear infections
HP:0000420	Short nasal septum
HP:0000421	Epistaxis
HP:0410019	Epigastric pain
HP:0000422	Abnormality of the nasal bridge
HP:0410017	Otitis externa
HP:0410030	Cleft lip
HP:0410031	Submucous cleft of soft and hard palate
HP:0000426	Prominent nasal bridge
HP:0410026	Abnormality of the periodontium
HP:0000429	Abnormality of the nasal alae
HP:0410027	Alveolar bone loss around teeth
HP:0000430	Underdeveloped nasal alae
HP:0000431	Wide nasal bridge
HP:0000433	Abnormality of the nasal mucosa
HP:0000434	Nasal mucosa telangiectasia
HP:0000436	Abnormality of the nasal tip
HP:0410035	Abnormal T cell activation
HP:0000437	Depressed nasal tip
HP:0410033	Unilateral alveolar cleft of maxilla
HP:0410042	Abnormal liver morphology
HP:0000444	Convex nasal ridge
HP:0410043	Abnormal neural tube morphology
HP:0000445	Wide nose
HP:0000446	Narrow nasal bridge
HP:0000447	Pear-shaped nose
HP:0000448	Prominent nose
HP:0410054	Decreased level of GABA in serum
HP:0410055	Decreased level of erythritol in urine
HP:0000451	Triangular nasal tip
HP:0000452	Choanal stenosis
HP:0410050	Decreased level of 1,5 anhydroglucitol in serum
HP:0410051	Increased level of 3-hydroxy-3-methylglutaric acid in urine
HP:0000453	Choanal atresia
HP:0000454	Flared nostrils
HP:0000455	Broad nasal tip
HP:0410049	Abnormality of radial ray
HP:0410062	Increased level of galactitol in urine
HP:0000456	Bifid nasal tip
HP:0000457	Depressed nasal ridge
HP:0410063	Increased level of galactonate in red blood cells
HP:0000458	Anosmia
HP:0410061	Increased level of galactitol in plasma
HP:0000460	Narrow nose
HP:0410058	Increased level of D-threitol in CSF
HP:0410059	Increased level of D-threitol in urine
HP:0410056	Decreased level of erythritol in CSF
HP:0000463	Anteverted nares
HP:0410057	Increased level of D-threitol in plasma
HP:0000464	Abnormality of the neck
